10,115,5,5,5,5,5,20,5,5,15,5,35,10,5,20,5,10,15,90
20,115,5,5,5,5,5,20,5,5,15,5,35,10,5,20,5,10,15,90
15,25,255,10,10,55,50,10,5,10,20,5,5,55,150,10,35,5,25,10
25,5,25,25,15,65,30,75,5,5,10,25,10,30,5,40,25,10,15,90
75,10,85,5,5,5,15,20,5,10,15,25,5,25,25,15,65,30,75,5
10,5,5,5,5,250,5,90,5,5,5,105,15,160,50,50,40,35,15,15
30,5,5,10,5,5,5,5,250,5,90,5,5,5,105,15,160,50,50,40
10,5,5,5,15,5,100,5,35,25,25,20,5,5,115,100,40,40,10,15
15,5,15,5,5,10,40,35,40,25,5,45,75,20,30,75,5,5,5,5
20,100,5,20,20,5,10,5,60,15,5,15,5,5,10,40,35,40,25,5
65,5,5,5,25,100,5,20,20,5,10,5,60,15,5,15,5,5,10,40
5,5,15,5,10,20,80,5,5,5,25,100,5,20,20,5,10,5,60,15
50,40,5,40,20,5,70,5,40,80,15,5,5,5,20,10,5,10,30,120
40,50,25,5,15,15,30,70,5,10,5,5,65,5,50,10,60,10,20,25
15,105,100,5,5,5,10,5,140,105,60,10,105,20,5,100,10,25,5,5
5,50,140,15,105,100,5,5,5,10,5,140,105,60,10,105,20,5,100,10
30,70,10,60,50,25,5,90,100,5,10,85,10,50,5,10,70,80,80,20
120,25,25,25,25,5,10,25,10,10,115,25,25,5,75,35,5,115,20,40
110,20,495,105,150,100,5,50,25,5,95,100,5,155,25,25,25,25,5,10
140,20,495,105,150,100,5,50,25,5,95,100,5,155,25,25,25,25,5,10
30,30,10,30,90,55,30,3000,50,5,5,100,70,20,80,105,25,10,10,40
5,25,75,10,40,50,25,10,10,90,100,55,5,5,130,90,10,10,15,15
35,5,50,15,25,50,5,25,75,10,40,50,25,10,10,90,100,55,5,5
45,5,50,15,25,50,5,25,75,10,40,50,25,10,10,90,100,55,5,5
50,5,50,15,25,50,5,25,75,10,40,50,25,10,10,90,100,55,5,5
